행정동,지도학습 (2025년 예측),지도학습 (2024년 예측),사전 조사,클러스터링,총 등장 횟수
방이2동,,,O,O,2
상도1동,,,O,O,2
서교동,O,,O,,2
수유3동,,,O,O,2
신사동,O,,O,,2
신촌동,O,,O,,2
압구정동,O,O,,,2
연남동,O,,O,,2
잠실본동,,O,,O,2
합정동,,,O,O,2
화양동,O,,O,,2
가산동,O,O,,,2
가락1동,,,O,,1
가양1동,,O,,,1
공덕동,,,O,,1
군자동,,,,O,1
구의1동,,,,O,1
낙성대동,,O,,,1
논현1동,,O,,,1
논현2동,,,O,,1
당산2동,,,,O,1
대학동,,,O,,1
대흥동,,,,O,1
동선동,,,,O,1
망원1동,,,O,,1
문래동,,,O,,1
문정2동,,O,,,1
발산1동,,O,,,1
방배본동,,,O,,1
사당1동,,,,O,1
삼성1동,,,O,,1
삼성2동,,O,,,1
상계2동,,,,O,1
상봉1동,,,O,,1
상봉2동,,,,O,1
서강동,O,,,,1
서초1동,,,O,,1
성북동,,,O,,1
성수2가3동,,O,,,1
송파1동,,,,O,1
수궁동,,,O,,1
수서동,,,O,,1
신정4동,,,O,,1
쌍문1동,,,O,,1
쌍문2동,,,O,,í",,O,,1
여의동,,O,,,1
연희동,,,,O,1
영등포동,,,,O,1
이태원1동,,,O,,1
이태원2동,,,,O,1
일원2동,,,O,,1
잠실3동,,,O,,1
장위2동,,,O,,1
장지동,,,O,,1
전농1동,,O,,,1
조원동,,,,O,1
중앙동,,,,O,1
중계본동,,,O,,1
창신3동,,,O,,1
천호3동,,,O,,1
청담동,,O,,,1
청룡동,,,,O,1
청파동,,,,O,1
한강로동,,,O,,1
한남동,,O,,,1
행운동,,,O,,1
혜화동,,,,O,1
홍제1동,,,O,,1
화곡1동,,O,,,1
화곡8동,,,O,,1
회기동,,,,O,1
휘경제1동,,,,O,1